calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
3400,-0.00294968693697616,0.009853007393823845,-0.00294968693697616,-0.00294968693697616,0.009853007393823845,0.009853007393823845,-0.016578039833312037,-0.05945332720197475,-2.839855603257595E-10,-0.016396697659474765,-0.01603392992076169,-0.05880298520104647,-0.057502002136408735,-2.8087912799927976E-10,-2.746648348390275E-10,1.0918309580844934
3500,-0.0029529955033038226,0.009840042815021061,-0.0029529955033038226,-0.0029529955033038226,0.009840042815021061,0.009840042815021061,-0.016546179982961203,-0.0595066143562109,-2.859360316325073E-10,-0.016365104357016186,-0.016004074315155686,-0.05885539471194765,-0.05755698773860862,-2.8280684737599564E-10,-2.765678545948211E-10,1.0921199667788495
3600,-0.002956312819871259,0.009827123945977203,-0.002956312819871259,-0.002956312819871259,0.009827123945977203,0.009827123945977203,-0.016514462004499145,-0.059559962354603306,-2.879054441982529E-10,-0.01633365146664391,-0.015974350207056592,-0.05890786307186315,-0.05761203100121187,-2.847532774366136E-10,-2.7848938650790547E-10,1.0924088650977082
3700,-0.0029596389095121784,0.009814250516565412,-0.0029596389095121784,-0.0029596389095121784,0.009814250516565412,0.009814250516565412,-0.01648288513154904,-0.0596133714823515,-2.8989402443802426E-10,-0.01630233822854342,-0.015944756900380504,-0.05896039055619912,-0.05766713222303707,-2.8671864173685254E-10,-2.8042965231189865E-10,1.0926976576211098
3800,-0.0029629737952843174,0.009801422257760036,-0.0029629737952843174,-0.0029629737952843174,0.009801422257760036,0.009801422257760036,-0.016451448602192355,-0.05966684202505446,-2.91902001941789E-10,-0.01627116388731746,-0.015915293703001196,-0.059012977440719996,-0.057722291703404684,-2.8870316696597576E-10,-2.8238887685419384E-10,1.0929863489200704
3900,-0.002966317500468685,0.009788638901628533,-0.002966317500468685,-0.002966317500468685,0.009788638901628533,0.009788638901628533,-0.016420151658948196,-0.059720374268707986,-2.939296095040875E-10,-0.016240127691965554,-0.015885959926733025,-0.05906562400154575,-0.057777509742133755,-2.9070708297597544E-10,-2.8436728812535944E-10,1.0932749435567293
4000,-0.00296967004856899,0.009775900181323753,-0.00296967004856899,-0.00296967004856899,0.009775900181323753,0.009775900181323753,-0.016388993548752975,-0.05977396849970259,-2.9597708321323475E-10,-0.016209228895863837,-0.015856754887314067,-0.05911833051514967,-0.05783278663953925,-2.927306228696699E-10,-2.863651173461794E-10,1.0935634460845027
4100,-0.0029730314633108997,0.009763205831076423,-0.0029730314633108997,-0.0029730314633108997,0.009763205831076423,0.009763205831076423,-0.0163579735229398,-0.05982762500481967,-2.98044662435656E-10,-0.016178466756744603,-0.015827677904388937,-0.059171097258354406,-0.057888122696427485,-2.9477402298508253E-10,-2.883825989532538E-10,1.0938518610482288
4200,-0.002976401768641399,0.009750555586187017,-0.002976401768641399,-0.002976401768641399,0.009750555586187017,0.009750555586187017,-0.01632709083721801,-0.05988134407122955,-3.0013258995661E-10,-0.016147840536676013,-0.015798728301491812,-0.05922392450832991,-0.05794351821409366,-2.9683752303448974E-10,-2.904199707359182E-10,1.094140192984321
4300,-0.002979780988728021,0.009737949183018336,-0.002979780988728021,-0.002979780988728021,0.009737949183018336,0.009737949183018336,-0.016296344751652526,-0.05993512598648889,-3.0224111195649584E-10,-0.016117349502041623,-0.015769905406029194,-0.0592768125425907,-0.05799897349431855,-2.9892136608085433E-10,-2.924774738141013E-10,1.0944284464209162
4400,-0.002983169147958344,0.009725386358987178,-0.002983169147958344,-0.002983169147958344,0.009725386358987178,0.009725386358987178,-0.0162657345306432,-0.05998897103853826,-3.043704781065098E-10,-0.016086992923519883,-0.01574120854926269,-0.05932976163899333,-0.05805448883936566,-3.0102579863229615E-10,-2.9455535273167317E-10,1.0947166258780288
4500,-0.002986566270939124,0.009712866852557117,-0.002986566270939124,-0.002986566270939124,0.009712866852557117,0.009712866852557117,-0.016235259442904305,-0.06004287951569848,-3.0652094160884767E-10,-0.016056770076063816,-0.01571263706629188,-0.05938277207573264,-0.05811006455197687,-3.0315107068171417E-10,-2.9665385549615184E-10,1.0950047358676955
4600,-0.0029899723824957695,0.009700390403230204,-0.0029899723824957695,-0.0029899723824957695,0.009700390403230204,0.009700390403230204,-0.01620491876144372,-0.06009685170666962,-3.0869275925970234E-10,-0.016026680238880365,-0.015684190296036907,-0.05943584413134059,-0.05816570093537091,-3.0529743576895053E-10,-2.987732336404836E-10,1.0952927808941333
4700,-0.0029933875076715286,0.009687956751539292,-0.0029933875076715286,-0.0029933875076715286,0.009687956751539292,0.009687956751539292,-0.016174711763542363,-0.06015088790052758,-3.108861915036493E-10,-0.015996722695409995,-0.01565586758122128,-0.05948897808468276,-0.05822139829323943,-3.07465151034435E-10,-3.009137422765046E-10,1.0955807654538858
4800,-0.0029968116717268138,0.009675565639040212,-0.0029968116717268138,-0.0029968116717268138,0.009675565639040212,0.009675565639040212,-0.016144637730733467,-0.060204988386722294,-3.1310150249844615E-10,-0.015966896733306153,-0.015627668268354485,-0.05954217421495644,-0.05827715692974462,-3.0965447728312493E-10,-3.030756401584976E-10,1.0958686940359796
4900,-0.0030002449001386264,0.009663216808303772,-0.0030002449001386264,-0.0030002449001386264,0.009663216808303772,0.009663216808303772,-0.01611469594878179,-0.060259153455074745,-3.1533896015508405E-10,-0.015937201644414638,-0.015599591707714551,-0.05959543280168751,-0.05833297714951577,-3.1186567902396727E-10,-3.0525918972280997E-10,1.0961565711220722
5000,-0.0030036872185997153,0.009650910002907975,-0.0030036872185997153,-0.0030036872185997153,0.009650910002907975,0.009650910002907975,-0.016084885707663005,-0.06031338339577457,-3.175988362267743E-10,-0.015907636724753173,-0.015571637253330732,-0.05964875412472799,-0.05838885925764635,-3.140990245577537E-10,-3.0746465717485464E-10,1.0964444011866052
5100,-0.0030071386530177826,0.009638644967429976,-0.0030071386530177826,-0.0030071386530177826,0.009638644967429976,0.009638644967429976,-0.016055206301542925,-0.06036767849937815,-3.1988140632811916E-10,-0.015878201274490827,-0.01554380426296607,-0.05970213846425397,-0.058444803559691616,-3.163547859959263E-10,-3.0969231250854545E-10,1.0967321886969585
5200,-0.0030105992295151127,0.009626421447438452,-0.0030105992295151127,-0.0030105992295151127,0.009626421447438452,0.009626421447438452,-0.016025657028756773,-0.06042203905680649,-3.2218695006167677E-10,-0.01584889459792741,-0.015516092098099918,-0.05975558610076338,-0.05850081036166599,-3.186332393855898E-10,-3.119424296297143E-10,1.0970199381136032
